# Mittlerer Gebietsniederschlag Heiligensee aus DXk-Produkt
# Spalte Datetime: Uhrzeit in UTC am Ende des Messintervalls
# Spalte Niederschlag: Niederschlagshöhe in fünf Minuten (in mm)
# Kontakt: maik.heistermann@uni-potsdam.de

Datetime,Niederschlag
2017-06-29 09:00:00,0.0084
2017-06-29 09:05:00,0.0327
2017-06-29 09:10:00,0.0396
2017-06-29 09:15:00,0.0154
2017-06-29 09:20:00,0.0317
2017-06-29 09:25:00,0.2422
2017-06-29 09:30:00,0.9847
2017-06-29 09:35:00,1.5036
2017-06-29 09:40:00,1.7877
2017-06-29 09:45:00,3.1415
2017-06-29 09:50:00,2.7178
2017-06-29 09:55:00,1.9664
2017-06-29 10:00:00,0.9137
2017-06-29 10:05:00,0.8994
2017-06-29 10:10:00,1.0858
2017-06-29 10:15:00,0.6768
2017-06-29 10:20:00,0.6691
2017-06-29 10:25:00,0.6877
2017-06-29 10:30:00,0.6864
2017-06-29 10:35:00,0.6751
2017-06-29 10:40:00,0.6907
2017-06-29 10:45:00,0.7226
2017-06-29 10:50:00,0.8314
2017-06-29 10:55:00,1.0844
2017-06-29 11:00:00,0.9569
2017-06-29 11:05:00,0.8206
2017-06-29 11:10:00,0.8656
2017-06-29 11:15:00,0.7522
2017-06-29 11:20:00,0.8814
2017-06-29 11:25:00,0.8743
2017-06-29 11:30:00,0.7213
2017-06-29 11:35:00,0.8176
2017-06-29 11:40:00,0.7669
2017-06-29 11:45:00,0.7573
2017-06-29 11:50:00,0.9388
2017-06-29 11:55:00,0.9303
2017-06-29 12:00:00,0.6568
2017-06-29 12:05:00,0.4135
2017-06-29 12:10:00,0.2191
2017-06-29 12:15:00,0.1115
2017-06-29 12:20:00,0.0606
2017-06-29 12:25:00,0.1120
2017-06-29 12:30:00,0.4159
2017-06-29 12:35:00,0.3481
2017-06-29 12:40:00,0.1389
2017-06-29 12:45:00,0.0277
2017-06-29 12:50:00,0.0260
2017-06-29 12:55:00,0.0549
2017-06-29 13:00:00,0.1461
2017-06-29 13:05:00,0.1661
2017-06-29 13:10:00,0.2947
2017-06-29 13:15:00,0.2835
2017-06-29 13:20:00,0.1394
2017-06-29 13:25:00,0.2351
2017-06-29 13:30:00,0.1529
2017-06-29 13:35:00,0.1572
2017-06-29 13:40:00,0.5943
2017-06-29 13:45:00,0.4006
2017-06-29 13:50:00,0.7302
2017-06-29 13:55:00,0.6496
2017-06-29 14:00:00,0.4138
2017-06-29 14:05:00,0.2182
2017-06-29 14:10:00,0.3866
2017-06-29 14:15:00,0.6434
2017-06-29 14:20:00,0.7686
2017-06-29 14:25:00,0.4896
2017-06-29 14:30:00,0.1864
2017-06-29 14:35:00,0.3426
2017-06-29 14:40:00,0.3983
2017-06-29 14:45:00,0.3786
2017-06-29 14:50:00,0.5643
2017-06-29 14:55:00,0.7450
2017-06-29 15:00:00,0.7510
